/inv        Открыть инвентарь
/mn         Открыть главное меню
/phone      Достать телефон
/sms        Отправить sms
/pass       Показать документ удостоверяющий личность
/anim       Список анимаций
/stop       Сбросить анимацию
/pay        Передать деньги
/update     Посмотреть последние обновления
/gps        Открыть навигатор
/walk       Автоматическая походка
/run        Автоматический бег
/rep        Задать вопрос администраторам
/ask        Задать вопрос саппортам
/channel    Настроить канал рации
/slot       Настроить подканал рации
/id         Поиск игрока
/afk        Узнать, находится ли игрок в AFK
/pame       Посмотреть описание игрока
/mypame     Управление описанием персонажа
/dmypame    Удалить описание персонажа
/action     Установить/Убрать действие своего персонажа
/time       Информация о времени и дате
/clearchat  Очистить чат
/headmove   Отключить поворот головы
/blind      Активировать черный экран (для создания СС)
/pattach    Аттачи для премиум игроков
/dm         Посмотреть урон персонажа
/graffiti   Нарисовать граффити
/charity    Слить деньги
/dice       Бросить игральную кость
/coin       Подкинуть монету
/music      Слушать музыку
/fish       Ловить рыбу
/charact    Характеристики персонажа
/color      Установить цвет клиста
/help       Открыть помощь по игре
/jleave     Уволиться с работы
/bag        Надеть/снять мешок с головы игрока
/tie        Связать/развязать игрока
/notice     Список уведомлений для персонажа
/b          ООС чат
/s          Кричать
/w          Шептать
/r          Рация
/d          Чат департамента
/m          Мегафон
/mic        Говорить в микрофон
/me         Действия от первого лица
/do         Действия от третьего лица
/n          Писать в радио во время эфира
/try        Попытка действия "Удачно" / "Неудачно"
/todo       добавляет к сказанным словам деепричастный оборот
/ame        Действие от первого лица над головой
/pame       Описание персонажа от первого лица над головой
/pm         Написать приватное ООС сообщение другому игроку
/r          Говорить в канал и все принадлежащие ему слоты
/rj         Говорить в рабочую рацию ( рация для работ )
/rr         Говорить в определенный слот канала, в котором Вы находитесь
/rl         Тихо говорить в канал и все принадлежащие ему слоты
/rrl        Тихо говорить в определенный слот канала, в котором вы находитесь
/slot       Изменить подканал в своей рации
/channel    Изменить канал своей рации
/hpanel     Панель управления домом
/hevict     Выселится из дома
/sdoor      Постучать в дверь
/tdoor      Крикнуть в дверь
/bpanel     Панель управления бизнесом
/market     Загрузить/Поставить прилавок
/sale       Продать товар за лавкой
/buy        Закупить товар в лавку
/tk         Активировать тревожную кнопку в бизнесе
/dj         Управление музыкой в бизнесе
/bm         Говорить в микрофон бизнеса
/makebm     Выдать временный микрофон
/bskin      Выдать временный скин
/bmenu      Посмотреть товары на продаже
/mycars     Список Т/С игрока
/cpanel     Меню управления Т/С
/caract     Описание Т/С
/climit     Управление ограничителем скорости транспорта
/cload      Загрузить Т/С в багажник
/park       Припарковать Т/С
/fixcar     Вернуть Т/С на место парковки
/cspeed     Управление спидометром
/csignal    Поставить Т/С на сигнализацию
/ceng       Завести автомобиль
/clock      Открыть/Закрыть Т/С
/chood      Открыть/Закрыть капот Т/С
/ctrunk     Открыть/Закрыть багажник Т/С
/cwindow    Управление окнами Т/С
/roof       Поднять/Опустить крышу Т/С
/ctrailer   Прицепить/Отцепить дом на колесах
/cbreak     Взломать Т/С
/eject      Выбросить игрока из машины
/fill       Заправить Т/С
/aspawn     респавнит игрока
/goto       телепорт к игроку
/gethere    телепорт игрока к себе
/sp         войти в наблюдение
/unfreeze   разморозить игрокa
/mute       выдать блокировку чата
/unmute     снять блокировку чата
/stats      статистика игрока
/h          чат операторов поддержки
/kick       кикнуть игрока
/a          админ-чат
/ans        ответ в репорт
/tp         список телепортов
/adm        панель администратора
/hp         пополнить здоровье на 255 единиц
/adaction   удалить действие
/unjail     выпустить игрока из деморгана
/jail       отправить игрока в деморган
/afrisk     обыскать игрока
/aheal      поднять игрока с земли
/slap       подбросить игрока вверх
/dpame      удалить описание
/weapons    оружие у игрока
/sameip     одинаковые ip адреса в игре
/fbb        ближайшие бумбоксы
/dfire      удалить костёр рядом
/alogin     Авторизоваться как администратор
/pk         Выдать PK игроку
